연번,가맹점명,업종명,우편번호,소재지주소,제공기준일자
1,( 주)와이제이 종합건설산업,"건설,건축  자재",13559,"경기도 성남시 분당구 성남대로 295  C-416 (정자동,대림아크로텔)",2025-06-26
2,(Movement Lab)슬기로운 움직임생활,스포츠센타/레포츠클럽,13637,경기도 성남시 분당구 구미로9번길 10  2동 2층 221호,2025-06-26
3,(SH)마케팅,인삼  및  건강제품,13269,경기도 성남시 수정구 공원로 360  두산아파트 106동 901호,2025-06-26
4,(나무그늘)가시리,남.여기성복,13555,"경기 성남시 분당구 정자일로 210,  1층 109호 (정자동, 동양정자파라곤)",2025-06-26
5,(대명)능이오복탕,한식,13574,"경기 성남시 분당구 새마을로177번길 7-8,  1,2층 (율동)",2025-06-26
6,(복)  양친사회복지회  소망재활원,각종회비,13161,경기  성남시  중원구  금광2동  3957번지,2025-06-26
7,(복)양친사회복지회  소망재활원,각종회비,13161,경기 성남시 중원구 산성대로476번길 12  (금광동),2025-06-26
8,(복)양친사회복지회 소망재활원,기타16,13161,경기도 성남시 중원구 산성대로476번길 12  1층,2025-06-26
9,(분당)우리반찬1,식품잡화,13588,경기도 성남시 분당구 중앙공원로31번길 42  106호,2025-06-26
10,(사) 아. 태위성통신협의회,각종회비,13590,"경기 성남시 분당구 서현로 170,  T-1602 (서현동, 풍림아이원플러스)",2025-06-26
11,(사) 한국소프트웨어기술진흥협회,컴퓨터  소프트웨어,13494,경기도 성남시 분당구 대왕판교로 670  801호,2025-06-26
12,(사)국제보이차문화재단,식품잡화,13522,경기도 성남시 분당구 야탑로 28  비1 505호,2025-06-26
13,(사)대한댄스스포츠총엽합회,각종회비,13555,"경기 성남시 분당구 느티로 27,  310 (정자동, 하나빌딩)",2025-06-26
14,(사)대한불교 신조계종 홍유암,종교단체,13333,경기 성남시 수정구 산성대로149번길 27  (수진동),2025-06-26
15,(사)대한산업안전협회  성남지회,일반전문학원,13229,"경기 성남시 중원구 둔촌대로 484,  909 (상대원동, 시콕스타워)",2025-06-26
16,(사)봄뜰을가꾸는사람들 (판교제2어린이집),유치원,13477,경기도 성남시 분당구 운중로225번길 37  ,2025-06-26
17,(사)성남산업단지관리공단,주차장,13218,경기도 성남시 중원구 둔촌대로457번길 8  ,2025-06-26
18,(사)세종전통음식연구소,일반대중음식,13578,경기도 성남시 분당구 서현로357번길 8  1층 (서현동),2025-06-26
19,(사)유공압건설기계학회,기타18,13551,경기  성남시  분당구  쇳골로  48  한국건설기계산업회내  (금곡동),2025-06-26
20,(사)참사람들,각종회비,13218,"경기 성남시 중원구 둔촌대로457번길 8,  206-1호 (상대원동)",2025-06-26
21,(사)틴하모니,"공연장,극장",13627,"경기 성남시 분당구 미금일로90번길 36-9  (구미동, 성음빌딩)",2025-06-26
22,(사)한국디자인학회,기타18,13496,"경기 성남시 분당구 양현로 322  (야탑동, 코리아디자인센터)",2025-06-26
23,(사)한국반도체연구조합,각종회비,13524,경기 성남시 분당구 판교역로 182  (삼평동),2025-06-26
24,(사)한국산업디자이너협회,"용역서비스(연구,번역등)",13496,"경기 성남시 분당구 양현로 322,  3층 314-1 (야탑동, 코리아디자인센터)",2025-06-26
25,(사)한국장애인농축산기술협회월가든사업단,화원,13516,"경기 성남시 분당구 판교로 700,  804-2호 (야탑동, 분당테크노파크)",2025-06-26
26,(사)한국패키지디자인협회,광고,13496,"경기 성남시 분당구 양현로 322,  413호 (야탑동, 코리아디자인센터)",2025-06-26
27,(사)행복명상,일반대중음식,13621,경기 성남시 분당구 구미로185번길 30  (구미동),2025-06-26
28,(유)삼풍주류,주류판매(유통),13545,경기 성남시 분당구 석운로 34  (석운동),2025-06-26
29,(유)성남공판장,할인점/슈퍼마켓,13358,경기  성남시  중원구  성남동  2099,2025-06-26
30,(유)아웃백스테이크하우스코리아모란점,상품권판매,13365,경기 성남시 중원구 성남대로 1128  (성남동),2025-06-26
31,(유)아웃백스테이크하우스코리아모란점,양식,13365,경기  성남시  중원구  성남동  4122,2025-06-26
32,(유)아웃백스테이크하우스코리아미금점,상품권판매,13630,경기  성남시  분당구  구미동  7-2,2025-06-26
33,(유)제이엔제이코퍼레이션리미티드 지점,각종  수리점,13524,경기도 성남시 분당구 판교역로 178  1층108호 서건타워,2025-06-26
34,(유)한국타코닉,기타제조업,13506,"경기 성남시 분당구 성남대로926번길 10,  4층 (야탑동)",2025-06-26
35,(의) 열린의료재단 성남열린의원,개인병원,13290,"경기 성남시 수정구 수정로 185,  6층 (태평동)",2025-06-26
36,(의) 진성,종합병원,13506,"경기 성남시 분당구 장미로 78,  3층 (야탑동, 시그마3)",2025-06-26
37,(의)대진의료재단분당재생병원,종합병원,13590,경기 성남시 분당구 서현로180번길 20  (서현동),2025-06-26
38,(재)한국경제조사연구원,"용역서비스(연구,번역등)",13207,경기 성남시 중원구 상대원1동  190-1번지 SK테크노파크메가센터 903,2025-06-26
39,(재)한국기계전기전자시험연구원,"용역서비스(연구,번역등)",463470,경기 성남시 분당구 궁내로 55  (궁내동),2025-06-26
40,(주)  가보테크,기계류제조업,13210,"경기 성남시 중원구 사기막골로 52,  선텍시티투아파트형공장 204-206호 (상대원동)",2025-06-26
41,(주)  고운세상코스메틱,화장품,13591,"경기  성남시  분당구  서현로210번길  20  5층  (서현동,  코코프라자)",2025-06-26
42,(주)  까사미아,전자상거래(다품목취급),13591,경기  성남시  분당구  서현동  262-1번지  3층,2025-06-26
43,(주)  까사미아,목재가구,13591,경기  성남시  분당구  서현동  271-1번지  신영G타워  5층,2025-06-26
44,(주)  까사미아양재숲길점,일반대중음식,13591,경기  성남시  분당구  서현동  262-1번지  3층,2025-06-26
45,(주)  너와집  백현점,한식,13539,경기 성남시 분당구 안양판교로1201번길 45  (백현동),2025-06-26
46,(주)  동서남북여행,관광여행사,13599,"경기 성남시 분당구 내정로166번길 7-6,  코기리상가 1층 (수내동)",2025-06-26
47,(주)  두마레,한식,13621,"경기  성남시  분당구  구미로  191  주  두마레  (구미동,  아산웰빙프라자)",2025-06-26
48,(주)  라임인터내셔날,"운동경기,레져용품",13551,"경기 성남시 분당구 대왕판교로 221,  302 (궁내동, 동일빌딩)",2025-06-26
49,(주)  매시브,일반전문학원,13589,"경기 성남시 분당구 돌마로 481,  5층 503 (서현동, 우성프라자)",2025-06-26
50,(주)  밀테크,기타12,13558,"경기 성남시 분당구 성남대로331번길 3-9,  III 707 (정자동, 백궁프라자)",2025-06-26
51,(주)  보끄레머천다이징(서현지점),남.여기성복,13591,경기  성남시  분당구  분당로53번길  15  13.101  (서현동),2025-06-26
52,(주)  서브원,주차장,13493,경기 성남시 분당구 판교역로 220  (삼평동),2025-06-26
53,(주)  세계과학,과학기자재,13207,"경기 성남시 중원구 사기막골로 124,  813 (상대원동, 에스케이엔테크노파크)",2025-06-26
54,(주)  수신학원,일반전문학원,13640,"경기 성남시 수정구 위례광장로 310,  A동 1001호 1004호 (창곡동, 우성트램타워)",2025-06-26
55,(주)  아라테크놀러지,"용역서비스(연구,번역등)",13488,경기 성남시 분당구 판교로319번길 13  (삼평동),2025-06-26
56,(주)  아이피에스이미지,사무기기,13403,경기 성남시 중원구 둔촌대로388번길 18  (상대원동),2025-06-26
57,(주)  엑셀라이트코리아,"안경,콘텍트렌즈",13438,"경기 성남시 중원구 양현로 411,  7층 708호 (여수동, 시티오피스타워)",2025-06-26
58,(주)  엠엔제이스포츠,"운동경기,레져용품",13229,"경기 성남시 중원구 둔촌대로 474,  롯데센텍시티 210호 (상대원동)",2025-06-26
59,(주)  유오스,사무기기,13595,경기 성남시 분당구 백현로 105  (수내동),2025-06-26
60,(주)  이푸른환경,"용역서비스(연구,번역등)",13207,경기  성남시  중원구  상대원1동  234-1번지  포스테크노  602호  603호,2025-06-26
61,(주)  제이에스티,"정보통신기기,컴퓨터",13247,경기  성남시  중원구  산성대로  312-2  주  제이에스티  (중앙동),2025-06-26
62,(주)  제일연마종합상사,"건설,건축  자재",13387,경기 성남시 중원구 둔촌대로 221  (하대원동),2025-06-26
63,(주)  지에스디  (GSD),과학기자재,13510,경기  성남시  분당구  야탑동  145  분당테크노파크  시-602,2025-06-26
64,(주)  치어스,식품잡화,13558,"경기 성남시 분당구 성남대로331번길 3-9,  3411 (정자동, 백궁프라자)",2025-06-26
65,(주)  크린토피아  정자  발리점,세탁소,13607,경기  성남시  분당구  내정로  58  1층  (정자동),2025-06-26
66,(주)  프렌즈뮤직,일반전문학원,13616,경기  성남시  분당구  정자일로  25-409  대덕프라자4층  409호～410호,2025-06-26
67,(주)  피디씨,과학기자재,13207,"경기 성남시 중원구 사기막골로 124,  테크동 602호 (상대원동, SKn테크노파크)",2025-06-26
68,(주)  한국에이치알디교육센,일반전문학원,13590,"경기 성남시 분당구 황새울로359번길 7,  2층 (서현동)",2025-06-26
69,(주)  한케이골프,관광여행사,13493,"경기 성남시 분당구 판교역로 230,  B동 503호 506호 하이펙스 (삼평동)",2025-06-26
70,(주) 곤트란쉐리에코리아 정자점,제과점,13559,"경기 성남시 분당구 정자일로 132,  1층 엠코헤리츠4단지 101호 102호 116호 (정자동)",2025-06-26
71,(주) 그래디언트,일반전문학원,13558,"경기 성남시 분당구 성남대로331번길 3-13,  606호 (정자동, 대명제스트빌딩)",2025-06-26
72,(주) 그린나래서비스,"운동경기,레져용품",13595,경기도 성남시 분당구 황새울로 234  465호,2025-06-26
73,(주) 내팜,식품류제조업,13207,경기도 성남시 중원구 순환로 165  (상대원동 포스테크노 4층 11.12호),2025-06-26
74,(주) 농협홍삼,일반대중음식,13487,"경기 성남시 분당구 대왕판교로645번길 12,  1층  판교테크노밸리공공지원센터 카페테리아 (삼평동)",2025-06-26
75,(주) 뉴신일월드,"건설,건축  자재",13119,경기도 성남시 수정구 성남대로1390번길 12  경기도 성남시 수정 복정동 716,2025-06-26
76,(주) 다꼬르피스,"관광민예,선물용품",13207,경기도 성남시 중원구 사기막골로 124  메가동 713호(상대원동 SKn테크노파크),2025-06-26
77,(주) 다옥인터내셔널,기타제조업,13558,경기 성남시 분당구 정자동  156-1번지 젤존타워III 602호,2025-06-26
78,(주) 다인소재,식품류제조업,13144,"경기 성남시 수정구 산성대로405번길 6,  2층 (단대동)",2025-06-26
79,(주) 닥터로빈 시그니쳐 판교점,양식,13525,경기 성남시 분당구 동판교로177번길  25    1층 108호,2025-06-26
80,(주) 달래모스,한식,13179,"경기 성남시 중원구 산성대로 380,  201호 (금광동)",2025-06-26
81,(주) 대성유통,"차량용품,부품",13545,경기도 성남시 분당구 석운로11번길 10  1층,2025-06-26
82,(주) 더난,"정보통신기기,컴퓨터",13201,경기도 성남시 중원구 갈마치로 302  ,2025-06-26
83,(주) 더블유스퀘어,주차장,13493,경기 성남시 분당구 삼평동  674번지,2025-06-26
84,(주) 더블유스퀘어컨벤션,예식장,13493,경기 성남시 분당구 판교역로226번길 16  (삼평동),2025-06-26
85,(주) 더블유앤에스,인삼  및  건강제품,13360,경기도 성남시 중원구 광명로 132  4층 성남동,2025-06-26
86,(주) 도서총판 푸른언덕,서적,13449,경기 성남시 수정구 시흥동  212번지 B동,2025-06-26
87,(주) 도솔방재,"건설,건축  자재",13503,"경기 성남시 분당구 벌말로40번길 5-1,  302호 (야탑동)",2025-06-26
88,(주) 동부로지스,화물  운송업,13496,경기도 성남시 분당구 양현로 322  405호,2025-06-26
89,(주) 동산렌트카,렌트카,13438,"경기 성남시 중원구 양현로 411,  901호 (여수동, 시티오피스타워)",2025-06-26
90,(주) 두원종합철강,"건설,건축  자재",13445,"경기 성남시 수정구 설개로 4 ,  1층 (시흥동)",2025-06-26
91,(주) 두잉씨앤에스,"용역서비스(연구,번역등)",13494,"경기 성남시 분당구 판교역로 231,  S-908 (삼평동)",2025-06-26
92,(주) 두잉씨앤에스,주차장,13494,경기도 성남시 분당구 판교역로 231  에스동 908호,2025-06-26
93,(주) 드림플래너,일반전문학원,13209,"경기 성남시 중원구 사기막골로45번길 14,  B동 607호 (상대원동)",2025-06-26
94,(주) 디알텍,"의료기기,건강진단",13216,경기도 성남시 중원구 둔촌대로541번길 29  ,2025-06-26
95,(주) 디지털앤아날로그,"가전,가전용품",13516,경기도 성남시 분당구 판교로 700  이동 지하층 104호 야탑동 분당테크노파크,2025-06-26
96,(주) 딥임플란트시스템,"의료기기,건강진단",13215,"경기 성남시 중원구 둔촌대로 545,  1405호 한라시그마밸리 (상대원동)",2025-06-26
97,(주) 라온스포츠 분당지점,스포츠센타/레포츠클럽,13613,"경기 성남시 분당구 정자일로 55,  81층 108동 102동 103동 (금곡동, 분당두산위브)",2025-06-26
98,(주) 라이트웨이,기타제조업,13403,경기 성남시 중원구 상대원동  5445번지 성남우림라이온스밸리3차 910,2025-06-26
99,"(주) 로 (RO Co. , Ltd. )","정비,세차장,자동차SVC",13558,경기 성남시 분당구 성남대로331번길  8    405 킨스타워4층,2025-06-26
100,(주) 마더케이,기타제조업,13558,"경기 성남시 분당구 성남대로331번길 8,  11층 1103호 (정자동, 킨스타워)",2025-06-26
101,(주) 매경아이씨,"용역서비스(연구,번역등)",13591,"경기도 성남시 분당구 분당로53번길 14  304, 305호",2025-06-26
102,(주) 메드데이코리아,"의료기기,건강진단",13535,"경기 성남시 분당구 동판교로52번길 22-10,  1층 (백현동)",2025-06-26
103,(주) 메디코어스,"의료기기,건강진단",13207,"경기 성남시 중원구 사기막골로 124,  메가센터동 1007호 (상대원동, SKn테크노파크)",2025-06-26
104,(주) 메종기욤 아브뉴프랑,일반대중음식,13525,경기도 성남시 분당구 동판교로177번길 25  1층126호,2025-06-26
105,(주) 미래넥,"정보통신기기,컴퓨터",13487,경기도 성남시 분당구 대왕판교로645번길 12  9층 30호,2025-06-26
106,(주) 밀리토피아 휘트니스 센터,스포츠센타/레포츠클럽,13646,경기도 성남시 수정구 위례대로 83  지하1층,2025-06-26
107,(주) 바우드유니온,"건설,건축  자재",13616,"경기 성남시 분당구 정자일로 1,  B3114 (금곡동, 코오롱트리폴리스)",2025-06-26
108,(주) 바찌코리아,남.여기성복,13511,"경기 성남시 분당구 판교로 697 ,  에이동 404호 (야탑동)",2025-06-26
109,(주) 분당메디케어,기타16,13558,경기도 성남시 분당구 정자일로 158  401호,2025-06-26
110,(주) 블루에스디,"용역서비스(연구,번역등)",13113,경기 성남시 수정구 복정로 157  (복정동),2025-06-26
111,(주) 비다스테크,"주방기구  및  용품,정수기",13209,"경기 성남시 중원구 사기막골로45번길 14,  A동 813호 (상대원동)",2025-06-26
112,(주) 비법스터디에듀,일반전문학원,13558,"경기 성남시 분당구 성남대로331번길 3-9,  6층 3호 (정자동)",2025-06-26
113,(주) 비스토스,"의료기기,건강진단",13201,"경기 성남시 중원구 갈마치로 302,  A동 7층 우림라이온스밸라5차 (상대원동, 성남우림라이온스밸리5차)",2025-06-26
114,(주) 비엔,화장품,13209,"경기 성남시 중원구 사기막골로45번길 14,  B동 B306호 우림2차 (상대원동)",2025-06-26
115,(주) 비즈바이오,"농기계,사료,비료",13554,"경기 성남시 분당구 정자일로 248,  226호 (정자동, 파크뷰오피스)",2025-06-26
116,(주) 비즈엠넷,컴퓨터  소프트웨어,13607,"경기 성남시 분당구 백현로 206,  201호 한솔마을근린상가 (정자동, 한솔마을주공4단지아파트)",2025-06-26
117,(주) 비츠,조명  및  전기자재  실내장식,13636,"경기 성남시 분당구 성남대로 69,  811호 (구미동, 로드랜드EZ타워)",2025-06-26
118,(주) 빈스테이블(분당점),식품잡화,13599,"경기 성남시 분당구 내정로 152,  상가 103호 (수내동, 파크타운롯데아파트)",2025-06-26
119,(주) 사랑과선행,식품잡화,13503,"경기 성남시 분당구 야탑로205번길 26,  성남고령친화체험관 323 (야탑동)",2025-06-26
120,(주) 산업전기관리공사,"전문서비스(회계,변리,컨설팅등)",13312,경기도 성남시 수정구 모란로 65  ,2025-06-26
121,(주) 산쿄코리아,"가전,가전용품",13486,"경기 성남시 분당구 판교로 253,  C동 10층 1002-2호 (삼평동, 판교이노밸리)",2025-06-26
122,(주) 서린바이오사이언스,과학기자재,13488,경기도 성남시 분당구 대왕판교로 700  (코리아바이오파크A동4층,2025-06-26
123,(주) 성남배관,"건설,건축  자재",13313,"경기 성남시 수정구 성남대로 1183-1,  지층 (수진동)",2025-06-26
124,(주) 성우컴테크,"건설,건축  자재",13115,경기 성남시 수정구 헌릉로1026번길 5  (복정동),2025-06-26
125,(주) 성운,식품잡화,13216,"경기도 성남시 중원구 둔촌대로 531  비동 603,604호",2025-06-26
126,(주) 세정,일반전문학원,13595,"경기 성남시 분당구 백현로 97,  303 (수내동, 수내동다운타운)",2025-06-26
127,(주) 섹타나인(제약3),기타4,13220,경기도 성남시 중원구 사기막골로31번길 18  ,2025-06-26
128,(주) 송천건업 동부,"건설,건축  자재",13446,경기 성남시 수정구 설개로 111  (사송동),2025-06-26
129,(주) 스타일줌 분당지점,남.여기성복,13552,경기 성남시 분당구 대왕판교로 141  (금곡동),2025-06-26
130,(주) 시아산업개발,"건설,건축  자재",13647,경기도 성남시 수정구 위례서일로 26  11층 1101호,2025-06-26
131,(주) 식템,식품잡화,13376,"경기 성남시 중원구 산성대로 80,  2층 (성남동)",2025-06-26
132,(주) 써지텍코리아,"의료기기,건강진단",13494,"경기 성남시 분당구 판교역로 231 ,  에이치스퀘어 에스-804 (삼평동)",2025-06-26
133,(주) 쎄코,기타제조업,13216,경기도 성남시 중원구 둔촌대로 519  4층 6층 8층 9층 10층,2025-06-26
134,(주) 쏨니아,남.여기성복,13591,"경기 성남시 분당구 서현로210번길 10,  10 (서현동, 다두프라자)",2025-06-26
135,(주) 씨어스테크놀로지,"의료기기,건강진단",13207,"경기 성남시 중원구 사기막골로 124 ,  에스케이엔테크노파크테크동 1210~1211호, 1314호 (상대원동)",2025-06-26
136,(주) 씨에스어학원,일반전문학원,13558,"경기 성남시 분당구 성남대로331번길 3-9,  3401호 408 (정자동, 백궁프라자)",2025-06-26
137,(주) 씨에스푸드,한식,13566,경기  성남시  분당구  이매동  105-5번지  지하1층,2025-06-26
138,(주) 씨엔케이글로벌홀딩스,"용역서비스(연구,번역등)",13640,경기도 성남시 수정구 위례광장로 322  5층 508호,2025-06-26
139,(주) 씨엔티산업기술원,"기계,장비임대업",13230,"경기도 성남시 중원구 둔촌대로 560  , 205호",2025-06-26
140,(주) 씨엠에스랩,화장품,13486,"경기 성남시 분당구 판교로255번길 20,  6층 (삼평동, 원익빌딩)",2025-06-26
141,(주) 아가페출판사분당지점,서적,13595,"경기 성남시 분당구 백현로101번길 17,  514호 (수내동, 초림프라자)",2025-06-26
142,(주) 아라테크놀러지,주차장,13488,"경기 성남시 분당구 판교로319번길 13,  디테라스 17 아라사무실 (삼평동)",2025-06-26
143,(주) 아빅스,"정보통신기기,컴퓨터",13590,"경기 성남시 분당구 황새울로351번길 10,  5층 (서현동, 여남빌딩)",2025-06-26
144,(주) 아우토플라츠 판교지점,수입자동차,13550,경기 성남시 분당구 대왕판교로 283  (궁내동),2025-06-26
145,(주) 아웃오브주,연쇄점,13558,"경기 성남시 분당구 성남대로331번길 13,  1층 (정자동)",2025-06-26
146,(주) 아이에스이영어사,일반전문학원,13524,"경기 성남시 분당구 대왕판교로606번길 41,  1003호 프라임스퀘어 (삼평동)",2025-06-26
147,(주) 아이티버스,"정보통신기기,컴퓨터",13487,"경기 성남시 분당구 판교로228번길 15,  2동 802호 (삼평동)",2025-06-26
148,(주) 아트창아,일반전문학원,13591,"경기 성남시 분당구 서현로210번길 2,  5층  성지하이츠텔 (서현동)",2025-06-26
149,(주) 안앤리,남.여기성복,13453,"경기 성남시 수정구 달래내로 101,  2층 (금토동)",2025-06-26
150,(주) 어노테이션에이아이(Annotation AI Co,회원제,13529,"경기도 성남시 분당구 분당내곡로 117  4층 (백현동, 크래프톤타워)",2025-06-26
151,(주) 어플리컴,조명  및  전기자재  실내장식,13207,경기도 성남시 중원구 사기막골로 124  1층,2025-06-26
152,(주) 에스더블유산업개발,"용역서비스(연구,번역등)",13381,경기 성남시 분당구 야탑동  342-3 엔즈빌 716,2025-06-26
153,(주) 에스에이치코리아,일반대중음식,13630,"경기 성남시 분당구 성남대로 151,  2층 212호 엠코헤리츠상가 (구미동)",2025-06-26
154,(주) 에스에프에이스포츠(SFA SPORTS) 미금점,일반전문학원,13615,경기도 성남시 분당구 돌마로 47  813호~816호,2025-06-26
155,(주) 에스에프에이스포츠(SFA SPORTS)정자점,일반전문학원,13555,경기도 성남시 분당구 정자일로 240  807호808호(월드프라자),2025-06-26
156,(주) 에스엔디,"정보통신기기,컴퓨터",13637,"경기 성남시 분당구 성남대로 30,  602호 (구미동, 동아그린프라자)",2025-06-26
157,(주) 에스지엠(SGM),실내골프장,13524,"경기 성남시 분당구 대왕판교로606번길 47,  4층 (삼평동)",2025-06-26
158,(주) 에스피씨 지에프에스,한식,13219,경기도 성남시 중원구 둔촌대로457번길 13  (상대원동),2025-06-26
159,(주) 에스피씨 지에프에스,한식,13219,경기도 성남시 중원구 둔촌대로457번길 13  (상대원동),2025-06-26
160,(주) 에스피씨 지에프에스,일반대중음식,13219,경기도 성남시 중원구 둔촌대로457번길 13  (상대원동),2025-06-26
161,(주) 에스피씨 지에프에스,일반대중음식,13219,경기도 성남시 중원구 둔촌대로457번길 13  (상대원동),2025-06-26
162,(주) 에이더블유피,"차량용품,부품",13572,경기 성남시 분당구 새마을로51번길 14  (서현동),2025-06-26
163,(주) 에이스카이,"중장비판매,수리",13506,"경기 성남시 분당구 장미로 78,  440 (야탑동, 시그마3)",2025-06-26
164,(주) 에이치씨엔씨,"정보통신기기,컴퓨터",13486,"경기 성남시 분당구 판교로255번길 9-22,  304호 (삼평동)",2025-06-26
165,(주) 에이치케이푸드,한식,13438,"경기 성남시 중원구 양현로405번길 12,  1층 (여수동)",2025-06-26
166,(주) 에펠모터스,수입자동차,13566,"경기 성남시 분당구 판교로 470,  1층 (이매동, 우리빌딩)",2025-06-26
167,(주) 에프엘넷,컴퓨터  소프트웨어,13365,경기 성남시 중원구 성남동  3489번지,2025-06-26
168,(주) 에프엠케이 궁내동 정비센터,"차량용품,부품",13550,경기도 성남시 분당구 대왕판교로 311  1층,2025-06-26
169,(주) 엔비전,패스트푸드,13493,경기도 성남시 분당구 판교역로 240  삼환하이펙스A동 1층 118호,2025-06-26
170,(주) 엔아이디에스,기타제조업,13201,"경기 성남시 중원구 갈마치로 314,  717호 (상대원동)",2025-06-26
171,(주) 엔조이소프트,컴퓨터  소프트웨어,13558,"경기 성남시 분당구 성남대로331번길 8,  1701호 엔조이소프트 (정자동, 킨스타워)",2025-06-26
172,(주) 엔케이코퍼레이션,광고,13201,"경기 성남시 중원구 갈마치로 302,  A동 13층 1310호 (상대원동)",2025-06-26
173,(주) 엠씨마스터스 (M&C Masters Co. Ltd),"기계,장비임대업",13218,"경기도 성남시 중원구 둔촌대로457번길 14  4층, 401호 (상대원동)",2025-06-26
174,(주) 엠엔제이스포츠,"운동경기,레져용품",13229,"경기 성남시 중원구 둔촌대로 474,  210호 롯데선택시티 (상대원동, 선텍시티1)",2025-06-26
175,(주) 엠플랜,목재가구,13112,"경기 성남시 수정구 복정로 91,  302호 (복정동, 쎄븐글로벌빌딩)",2025-06-26
176,(주) 엠플러스 디엔티,광고,463070,경기 성남시 분당구 야탑동  분당테크노파크상가동 201호,2025-06-26
177,(주) 오르다코리아,학습지,13461,"경기 성남시 분당구 운중로 115,  9층 (운중동, 판오션타워)",2025-06-26
178,(주) 오발탄에프에스 오발탄 서현점,한식,13590,"경기 성남시 분당구 황새울로319번길 6,  1층 (서현동, 정가빌딩)",2025-06-26
179,(주) 온비즈넷,관광여행사,13494,"경기 성남시 분당구 대왕판교로 660,  A동 1108호 유스페이스1차 (삼평동)",2025-06-26
180,(주) 올가홀푸드 분당서현점,할인점/슈퍼마켓,13589,"경기도 성남시 분당구 중앙공원로40번길 42  , 49동 148호",2025-06-26
181,(주) 올가홀푸드 야탑점,할인점/슈퍼마켓,13497,경기 성남시 분당구 야탑로69번길 2  (야탑동),2025-06-26
182,(주) 올어바웃어버트먼트,"의료기기,건강진단",13201,"경기도 성남시 중원구 사기막골로105번길 27  310호 (상대원동, 중앙인더스피아3)",2025-06-26
183,(주) 와이디생명과학,기타16,13207,경기 성남시 중원구 사기막골로  148    중앙이노테크지식산업센터 904호~909호 B210호 (상대원동),2025-06-26
184,(주) 위즈돔,"용역서비스(연구,번역등)",13486,"경기도 성남시 분당구 판교로255번길 24  5층 501호 (삼평동, 아이앤씨테크놀로지)",2025-06-26
185,(주) 유니크마이스터,목재가구,13446,경기도 성남시 수정구 사송로46번길 19  1층,2025-06-26
186,(주) 융합헬스케어,기타제조업,13646,"경기 성남시 수정구 위례대로 83,  1층 밀리토피아시티 8호 (창곡동)",2025-06-26
187,(주) 이가네양꼬치,중식,13590,"경기 성남시 분당구 황새울로335번길 10  (서현동, 멜로즈프라자)",2025-06-26
188,(주) 이노픽스,"차량용품,부품",13217,"경기 성남시 중원구 갈마치로 215,  B동 705호 (상대원동, 금강펜테리움IT타워)",2025-06-26
189,(주) 이니시오,"공연장,극장",13612,"경기 성남시 분당구 정자로 82  (정자동, 평림빌딩)",2025-06-26
190,(주) 이씨엠디메디포스트점,한식,13494,"경기 성남시 분당구 대왕판교로644번길 21,  메디포스트판교사옥 10층 일부 (삼평동)",2025-06-26
191,(주) 이씨엠디엔에이치앤 네이버그린팩토리,일반대중음식,13561,"경기 성남시 분당구 불정로 6,  4층 (정자동)",2025-06-26
192,(주) 이에스텍,기타제조업,13202,"경기  성남시  중원구  사기막골로  177    금강하이테크밸리716호,717호,718호",2025-06-26
193,(주) 이퀄리브리엄,일반대중음식,13230,"경기 성남시 중원구 갈마치로 186 ,  906호 반포테크노피아 (상대원동)",2025-06-26
194,(주) 이피지,"의료기기,건강진단",13112,경기 성남시 수정구 복정동  663-10번지 덕림빌딩 6층,2025-06-26
195,(주) 인포마크,컴퓨터  소프트웨어,13595,"경기 성남시 분당구 황새울로 216,  3층 (수내동, 휴맥스빌리지)",2025-06-26
196,(주) 인프로텍,"건설,건축  자재",13248,경기도 성남시 중원구 산성대로 344-1  4층,2025-06-26
197,(주) 일도씨패밀리 일도씨뚝불 분당점,한식,13636,"경기 성남시 분당구 탄천상로151번길 20,  일부 B동 3층 301호 (구미동)",2025-06-26
198,(주) 자라나는 씨앗,문구용품,13473,"경기도 성남시 분당구 서판교로 160  504 (판교동,스타식스밸리)",2025-06-26
199,(주) 정정당당 (양촌리 분당점),한식,13591,경기도 성남시 분당구 황새울로330번길 20  전층,2025-06-26
200,(주) 제이드에프앤비,식품잡화,13595,경기도 성남시 분당구 황새울로200번길 28  1004호,2025-06-26
201,(주) 제이와이정보통신,"정보통신기기,컴퓨터",13559,"경기 성남시 분당구 정자일로 146,  엠코헤리츠1단지 A동 1층 113호 (정자동)",2025-06-26
202,(주) 제이제이에스,악세사리,13639,"경기도 성남시 수정구 위례순환로 100  ,3307동 701호",2025-06-26
203,(주) 제이케이블루스,양식,13559,"경기 성남시 분당구 정자일로 132 ,  디동 119호 정자역 엠코헤리츠4단지 (정자동)",2025-06-26
204,(주) 제이헬렌,남.여기성복,13536,"경기 성남시 분당구 판교역로2번길 27,  101호 (백현동)",2025-06-26
205,(주) 존쿡 델리미트 정자점,일반대중음식,13555,"경기 성남시 분당구 성남대로 393  (정자동, 두산위브파빌리온)",2025-06-26
206,(주) 주신인테리어,"건설,건축  자재",13601,경기도 성남시 분당구 발이봉남로3번길 1  지층,2025-06-26
207,(주) 중원문고,서적,13353,경기  성남시  수정구  산성대로  247    우성빌딩지하1층,2025-06-26
208,(주) 중원문고 드림디포점(문화비),서적,13338,"경기 성남시 수정구 수정로 150  (신흥동, 교보빌딩)",2025-06-26
