연번,가맹점명,업종명,우편번호,소재지주소,제공기준일자
3160,골든핏,스포츠센타/레포츠클럽,13559,경기도 성남시 분당구 정자일로 146  에이동 2층 201 202호(정자동 엠코헤리츠 1단지),2025-06-26
3161,"골목,기연",일반대중음식,13144,경기도 성남시 수정구 단대로3번길 8-1  .,2025-06-26
3162,골목갈치조림전문점,한식,13144,경기도 성남시 수정구 산성대로419번길 4  1층(단대동),2025-06-26
3163,골목길,일반대중음식,13179,"경기 성남시 중원구 산성대로378번길 7,  1층 (금광동)",2025-06-26
3164,골목길포차,한식,13241,경기도 성남시 중원구 희망로 336  1층 106호,2025-06-26
3165,골목꽃집,화원,13366,경기도 성남시 중원구 제일로35번길 43-16  1층,2025-06-26
3166,골목사이,일반대중음식,13610,경기도 성남시 분당구 황새울로108번길 13  1층  일부,2025-06-26
3167,골목슈퍼,식품잡화,13226,경기도 성남시 중원구 박석로5번길 36-1  1층,2025-06-26
3168,골목포차,일식,13249,경기도 성남시 중원구 산성대로350번길 7-1  1층 일부,2025-06-26
3169,골목포차,일반대중음식,13286,경기도 성남시 수정구 남문로 105  1층,2025-06-26
3170,골무와실타래,각종  수리점,13567,경기 성남시 분당구 성남대로779번길 13  (이매동),2025-06-26
3171,골뱅이,남.여기성복,13358,경기  성남시  중원구  성남동  1315  지하상가  D-라-37,2025-06-26
3172,골신골프,"운동경기,레져용품",13552,경기도 성남시 분당구 대왕판교로 136  2층,2025-06-26
3173,골퍼룸(golfer room),남.여기성복,13406,"경기 성남시 중원구 둔촌대로268번길 5-8,  104호 (하대원동, 가나빌라)",2025-06-26
3174,골프 REALIZER,스포츠센타/레포츠클럽,13589,"경기 성남시 분당구 중앙공원로 54,  209동 701호 (서현동, 시범단지우성아파트)",2025-06-26
3175,골프닥터임팩트,스포츠센타/레포츠클럽,13568,"경기 성남시 분당구 서현로 177,  상가동지 1층 (이매동, 이매촌금강아파트)",2025-06-26
3176,골프메신저,"운동경기,레져용품",13539,"경기 성남시 분당구 안양판교로1201번길 53,  1층 (백현동)",2025-06-26
3177,골프벨리,"정보통신기기,컴퓨터",13215,"경기 성남시 중원구 둔촌대로 545,  1705 (상대원동)",2025-06-26
3178,골프스테이션,"운동경기,레져용품",13547,경기 성남시 분당구 대왕판교로 25  (동원동),2025-06-26
3179,골프아카데미 블루,실내골프장,13508,"경기 성남시 분당구 야탑로 249,  5층  백옥빌딩 (야탑동)",2025-06-26
3180,골프정복피팅,각종  수리점,13445,경기도 성남시 수정구 설개로2번길 2  2층 1호,2025-06-26
3181,골프존 맥주바,일반대중음식,13530,경기도 성남시 분당구 판교역로 145  타워2동 지1층 B146호,2025-06-26
3182,골프존 미금점,실내골프장,13615,경기도 성남시 분당구 돌마로 47  807호,2025-06-26
3183,골프존 크란츠테크노점,실내골프장,13403,경기도 성남시 중원구 둔촌대로 388  206호,2025-06-26
3184,골프존GDR아카데미 서현,스포츠센타/레포츠클럽,13590,경기도 성남시 분당구 서현로 170  풍림아이원오피스텔3층311호,2025-06-26
3185,골프존아카데미,실내골프장,13466,"경기 성남시 분당구 운중로 122,  1001호 (운중동)",2025-06-26
3186,골프존아카데미(분당정자점),스포츠센타/레포츠클럽,463950,"경기  성남시  분당구  성남대로  275  111동  3호    아데나팰리스제1층  (정자동,  삼성아데나팰리스아파트)",2025-06-26
3187,골프존파크 금곡 미금역점,실내골프장,13618,"경기도 성남시 분당구 돌마로 87  7층 702호(금곡동, 골드프라자)",2025-06-26
3188,골프존파크 이글스크린골프,실내골프장,13523,경기도 성남시 분당구 판교로 440  .5층,2025-06-26
3189,골프존파크 이매 코오롱분당점,실내골프장,13564,"경기도 성남시 분당구 탄천로 27  지하1층(이매동, 코오롱스포렉스)",2025-06-26
3190,골프킹아카데미,스포츠센타/레포츠클럽,13642,"경기도 성남시 수정구 위례동로 153  901,902호",2025-06-26
3191,골프필드,"운동경기,레져용품",13422,"경기 성남시 중원구 도촌남로 148,  903동 1206호 (도촌동, 휴먼시아섬마을9단지아파트)",2025-06-26
3192,곰  셀프  스튜디오,"사진관,DPNE",13350,"경기 성남시 수정구 공원로339번길 12-1,  지하1층 (신흥동, 황고빌딩)",2025-06-26
3193,곰PC라운지,PC게임방,13615,경기도 성남시 분당구 돌마로 47  3층,2025-06-26
3194,곰바우순대,한식,13157,경기 성남시 중원구 산성대로 510  (은행동),2025-06-26
3195,곰바우순대,한식,13197,경기 성남시 중원구 금상로 85  (금광동),2025-06-26
3196,곰이약국,약국,13261,경기도 성남시 수정구 희망로 551  c1동 301호,2025-06-26
3197,곰작골나주곰탕 판교점,일반대중음식,13449,경기도 성남시 수정구 창업로 54  상가 비 103호,2025-06-26
3198,곰커피,일반대중음식,13531,"경기 성남시 분당구 판교역로 75,  2층 일부호 (백현동)",2025-06-26
3199,곰팡이제로,"용역서비스(연구,번역등)",13434,"경기도 성남시 중원구 여수울로 51  216동 706호 (여수동,산들마을)",2025-06-26
3200,곰포차,일식,13558,"경기 성남시 분당구 정자일로 192,  109호 (정자동, 지.파크프라자)",2025-06-26
3201,"곱게,단장헤어","이용,미용",13158,경기도 성남시 중원구 산성대로 482  2층,2025-06-26
3202,곱분이곱창,한식,13356,"경기도 성남시 중원구 광명로 89  ,상가140호(성남동,성남센트럴푸르지오시티)",2025-06-26
3203,곱분이위례점,한식,13640,"경기도 성남시 수정구 위례광장로 310  , B동 1층 116호(창곡동, 우성트램타워)",2025-06-26
3204,곱슬머리,"이용,미용",13342,경기 성남시 수정구 탄리로52번길 4-1  (신흥동),2025-06-26
3205,곱창과막창사이 분당서현역점,한식,13591,"경기도 성남시 분당구 황새울로360번길 26  ,303호",2025-06-26
3206,곱창에빠지다 분당본점,일반대중음식,13591,"경기도 성남시 분당구 서현로210번길 14  204호 (서현동, 유성트윈프라자2차)",2025-06-26
3207,곱창일번지,한식,13364,"경기 성남시 중원구 광명로 20-1,  1층 (성남동)",2025-06-26
3208,곱창폭식,한식,13180,경기 성남시 중원구 희망로 444  (금광동),2025-06-26
3209,곳간 산성포레스티아점,주류판매(유통),13260,"경기도 성남시 수정구 수정로 291  제서문상가동 202호(신흥동, 산성역포레스티아아파트)",2025-06-26
3210,공가네,한식,13206,경기도 성남시 중원구 순환로198번길 12  1층 102호,2025-06-26
3211,공간,"가방,핸드백(가죽)",13345,"경기 성남시 수정구 산성대로 228-4,  D동 라열 18호(지하) (신흥동)",2025-06-26
3212,공간  인테리어,"수예,지물,커텐,카페트",13343,경기 성남시 수정구 탄리로 28  (신흥동),2025-06-26
3213,공간 디자인 유연,조명  및  전기자재  실내장식,13599,경기도 성남시 분당구 내정로166번길 7-6  1층 34호,2025-06-26
3214,공간 인테리어,"건설,건축  자재",13179,경기도 성남시 중원구 산성대로382번길 10  2층 201호 (금광동),2025-06-26
3215,공간건축디자인,광고,13505,경기도 성남시 분당구 매화로 51  302호,2025-06-26
3216,공간과나무,일반전문학원,13122,"경기 성남시 수정구 수정로456번길 12 ,  가동 지하1층 1층  (산성동)",2025-06-26
3217,공간디자인컴퍼니,"건설,건축  자재",13371,경기도 성남시 중원구 둔촌대로171번길 6  상가동 지하층2호,2025-06-26
3218,공간샘스터디카페  서현역점,"공연장,극장",13591,"경기도 성남시 분당구 분당로53번길 15  3층 4,10호",2025-06-26
3219,공간시스템에어컨,냉난방기구,13372,경기도 성남시 중원구 둔촌대로127번길 12  1층,2025-06-26
3220,공간을채우다,조명  및  전기자재  실내장식,13583,경기도 성남시 분당구 장안로 67  .209동203호,2025-06-26
3221,공간인테리어,"수예,지물,커텐,카페트",13441,"경기 성남시 분당구 장미로 55,  중앙상가 106 (야탑동)",2025-06-26
3222,공간인테리어,"수예,지물,커텐,카페트",13289,경기도 성남시 수정구 남문로102번길 9  1층,2025-06-26
3223,공간인테리어,조명  및  전기자재  실내장식,13581,"경기 성남시 분당구 분당로 212,  동성상가 107 (분당동)",2025-06-26
3224,공간종합설비,"건설,건축  자재",13149,"경기 성남시 중원구 순환로461번길 23,  301호 (은행동, 백제빌라)",2025-06-26
3225,공간창조,철재가구,13157,"경기 성남시 중원구 산성대로 506-1,  1층 (은행동)",2025-06-26
3226,공간화랑,"화랑,표구사",13597,"경기 성남시 분당구 내정로165번길 38,  청구종합상가 132 (수내동)",2025-06-26
3227,공감,"운동경기,레져용품",13595,경기도 성남시 분당구 백현로 97  1236호(수내동 다운타운),2025-06-26
3228,공감 헤어케어 살롱,"이용,미용",13353,"경기 성남시 수정구 시민로 138,  2층 201호 (신흥동, 성산씨티타워)",2025-06-26
